[2025-01-30 11:50:35,523] 1025 httpx -INFO -HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-01-30 11:50:36,367] 1025 httpx -INFO -HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-01-30 11:50:37,101] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-01-30 11:50:37,107] 107 dagshub -INFO -Accessing as ankitmishra06
[2025-01-30 11:50:37,830] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/ankitmishra06/NetworkSecurity "HTTP/1.1 200 OK"
[2025-01-30 11:50:38,530] 1025 httpx -INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-01-30 11:50:38,535] 107 dagshub -INFO -Initialized MLflow to track repo "ankitmishra06/NetworkSecurity"
[2025-01-30 11:50:38,536] 107 dagshub -INFO -Repository ankitmishra06/NetworkSecurity initialized!
[2025-01-30 11:50:38,536] 26 root -INFO -Initiate the data ingestion
[2025-01-30 11:50:41,355] 87 root -INFO -Performed train test split on the dataframe
[2025-01-30 11:50:41,355] 89 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-30 11:50:41,356] 100 root -INFO -Exporting train and test file path.
[2025-01-30 11:50:41,417] 111 root -INFO -Exported train and test file path.
[2025-01-30 11:50:41,418] 31 root -INFO -Data Initiation Completed
[2025-01-30 11:50:41,430] 37 root -INFO -Initiate the data validation
[2025-01-30 11:50:41,493] 45 root -INFO -Required number of columns:2
[2025-01-30 11:50:41,493] 46 root -INFO -Dataframe has columns:31
[2025-01-30 11:50:41,493] 45 root -INFO -Required number of columns:2
[2025-01-30 11:50:41,493] 46 root -INFO -Dataframe has columns:31
[2025-01-30 11:50:41,630] 39 root -INFO -Data validation completed
[2025-01-30 11:50:41,631] 44 root -INFO -Initiate the data transformation
[2025-01-30 11:50:41,631] 65 root -INFO -Starting data transformation
[2025-01-30 11:50:41,658] 51 root -INFO -Entered get_data_transformer_object method of Transformation class
[2025-01-30 11:50:41,658] 54 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-30 11:50:41,671] 44 root -INFO -Entered the save_object method of MainUtils class
[2025-01-30 11:50:41,674] 48 root -INFO -Exited the save_object method of MainUtils class
[2025-01-30 11:50:41,675] 46 root -INFO -Data transformation completed
[2025-01-30 11:50:41,676] 51 root -INFO -Model Training started
[2025-01-30 11:55:24,983] 44 root -INFO -Entered the save_object method of MainUtils class
[2025-01-30 11:55:24,984] 48 root -INFO -Exited the save_object method of MainUtils class
[2025-01-30 11:55:24,984] 152 root -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\30_01_2025_11_50_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910931174089069, precision_score=0.9890909090909091, recall_score=0.993103448275862), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9740470397404704, precision_score=0.9693301049233253, recall_score=0.9788101059494703))
[2025-01-30 11:55:24,990] 53 root -INFO -Modle Training completed and artifact created
